"","본인","배우자","모","부","시모","시부","조모","조부","장남","장녀","차남","차녀","삼남","삼녀","사남","사녀","오녀","손자1","손자2","손자3","손자4","손녀1","손녀2","손녀3","손녀4","손녀5",""
"국가안보실|제1차장|조태용","803661","856884","699809","0","0","0","0","0","80217","14716","25165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국가안보실|안보전략비서관|전성훈","1071120","1405224","0","0","0","0","0","0","35470","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국가안보실|사이버안보비서관|이재성","1798151","176860","0","0","0","0","0","0","102904","90848","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령경호실|경호실장|박흥렬","1266083","138434","212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령경호실|경호차장|이영석","118531","939501","0","0","0","0","0","0","4077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령경호실|경호본부장|류국형","650094","289390","266444","19","0","0","0","0","0","30053","0","6628","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"감사원|감사원장|황찬현","766156","249503","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"감사원|감사위원|유진희","691522","1284365","434326","0","0","0","0","0","24140","9841","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"감사원|감사위원|최재해","-85704","33279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"감사원|감사위원|왕정홍","649859","150444","0","0","0","0","0","0","27","87559","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"감사원|감사위원|정길영","529471","625543","63575","117684","0","0","0","0","-18238","59058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"감사원|감사위원|김상규","537426","20533","0","0","0","0","0","0","1254","4495","1617","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"감사원|감사위원|이준호","786762","986300","0","0","0","0","0","0","842","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"감사원|사무총장|이완수","2118119","69252","-32622","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"감사원|제1사무차장|강경원","330166","224879","0","289378","0","0","0","0","31343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"감사원|제2사무차장|신민철","2837393","2549707","0","0","0","0","0","0","24313","23000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"감사원|기획조정실장|이익형","559434","651828","0","0","0","0","0","0","25578","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"감사원|감사교육원장|손창동","261866","53292","14410","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국가정보원|원장|이병호","729389","67783","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국가정보원|제1차장|김진섭","727465","175763","10115","253284","0","0","0","0","9070","0","3469","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국가정보원|제2차장|최윤수","1428711","1207433","0","0","0","0","0","0","5000","2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국가정보원|제3차장|최종일","1030730","278526","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국가정보원|기획조정실장|이헌수","37025","612168","0","0","0","0","0","0","86209","155476","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"방송통신위원회|위원장|최성준","2461296","1001353","0","0","0","0","0","0","0","215289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"방송통신위원회|부위원장|김재홍","1608579","62128","39052","0","0","0","0","0","22830","62396","0","20097","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"방송통신위원회|상임위원|김석진","-87861","49821","0","0","0","0","0","0","0","163","0","243","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"방송통신위원회|상임위원|이기주","1319439","1026428","0","0","0","0","0","0","0","75291","0","64379","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"방송통신위원회|상임위원|고삼석","515101","49384","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"방송통신위원회|사무처장|정종기","535190","625431","0","0","0","0","0","0","7123","0","7244","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"방송통신위원회한국방송광고진흥공사|사장|곽성문","944167","152443","0","0","0","0","0","0","75432","0","125814","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"방송통신위원회한국방송광고진흥공사|감사|강태진","6108","0","10112","0","0","0","0","0","0","29007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"방송통신위원회시청자미디어재단|이사장|이석우","-55372","60240","7995","1133","0","0","0","0","1391","4774","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"방송통신위원회한국교육방송공사|사장|우종범","1762084","1921874","0","0","0","0","0","0","264859","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
